State,Property Name,City,County,Address,Address Source,Address Confidence,Has Address,Units,Property Type
AL,Birmingham Valley View,Birmingham,Jefferson,,,,No,220,
AL,Cedar Creek Apartments,Montgomery,Montgomery,,,,No,127,
AL,Huntsville Tech Park,Huntsville,Madison,,,,No,175,
AL,ISLAND OAKS APARTMENTS,Orange Beach,Baldwin,,,,No,56,
AL,Mobile Bay Apartments,Mobile,Mobile,,,,No,160,
AL,Montgomery Executive Park,Montgomery,Montgomery,,,,No,185,
AL,Sunrise Apartments,Montgomery,Montgomery,,,,No,84,
AL,Tuscaloosa College Park,Tuscaloosa,Tuscaloosa,,,,No,150,
AL,University Downs Apartments,Tuscaloosa,Tuscaloosa,,,,No,430,
FL,Ashton Parc,,,,,,No,,
FL,Backlot Apartments,Kissimmee,Osceola,,,,No,296,
FL,Beach Bluff Apartments,Jacksonville,Duval,"456 Beach Bluff Ave, Jacksonville, FL 32210",manual_verification,1.0,Yes,88,
FL,Bella Vista Village,Gainesville,Alachua,,,,No,284,
FL,COTTAGE COVE APARTMENTS,Miami,Miami-Dade,,,,No,468,
FL,CRYSTAL LAKE APARTMENTS,Pensacola,Escambia,"7680 US Highway 98, Pensacola, FL 32506",raw_data,1.0,Yes,224,
FL,Cane Island Loop,Kissimmee,Osceola,,,,No,168,
FL,Clubside Apartments,Venice,Sarasota,"100 Clubside Lane, Venice, FL 34292",manual_verification,1.0,Yes,77,
FL,Cobblestone at Eagle Harbor,,,,,,No,,
FL,Columbia Arms and Aspen-Alpine Apartments,Lake City,Columbia,,,,No,114,
FL,Danube Apartments,Orlando,Orange,,,,No,126,
FL,EVERGREEN AT SOUTHWOOD,Tallahassee,Leon,"1943 Dawsey St, Tallahassee, FL 32303",raw_data,1.0,Yes,288,
FL,Edison Grand,Fort Myers,Lee,,,,No,327,
FL,Gainesville Campus Quarter,Gainesville,Alachua,,,,No,185,
FL,Innovo at Sunrise,Sunrise,Broward,"789 Innovo Boulevard, Sunrise, FL 33323",manual_verification,1.0,Yes,168,
FL,Innovo at Waters,Tampa,Hillsborough,,,,No,196,
FL,Jacksonvile Beach Towers,Jacksonville,Duval,,,,No,290,
FL,Jacksonville Waterfront,Jacksonville,Duval,,,,No,150,
FL,Lynn Haven Cove,Lynn Haven,Bay,,,,No,149,
FL,Miami Beach Residences,Miami,Miami-Dade,,,,No,280,
FL,Orlando Gateway Apartments,Orlando,Orange,,,,No,220,
FL,Palm Beach Gardens,West Palm Beach,,,,,No,160,
FL,Pensacola Historic District,Pensacola,Escambia,,,,No,165,
FL,Portofino Cove,Fort Myers,Lee,,,,No,270,
FL,Rolling Hills,Orlando,Orange,"5402 Pine Chase Dr, Orlando, FL 32808",raw_data,1.0,Yes,240,
FL,Southern Garden,Valparaiso,Okaloosa,,,,No,84,
FL,Tampa Bay Heights,Tampa,Hillsborough,,,,No,200,
FL,The Avenue,Davie,Broward,,,,No,392,
FL,The Club at Crystal Lake,Deerfield Beach,Broward,,,,No,125,
FL,The Courtyards at San Jose,Jacksonville,Duval,,,,No,90,
FL,The Gables,Kissimmee,Osceola,"1209 Bermuda Lakes Ln, Kissimmee, FL 34741",raw_data,1.0,Yes,132,
FL,Warehouse Lofts,Tampa,Hillsborough,,,,No,54,
FL,Whitney Place Townhomes,Clearwater,Pinellas,,,,No,32,
FL,Wilton Walk Townhomes,Wilton Manors,Broward,,,,No,18,
GA,2500 BARNSDALE WAY,Albany,Dougherty,,,,No,59,
GA,ASHGROVE APARTMENTS,Stone Mountain,DeKalb,"1700 Weatherly Dr, Stone Mountain, GA 30083",raw_data,1.0,Yes,92,
GA,Athens College Town,Athens,Clarke,"2005 South Milledge Ave, Athens, GA 30605",raw_data,1.0,Yes,195,
GA,Augusta Park Apartments,Augusta,Richmond,,,,No,170,
GA,BROOKSTONE CROSSING,Atlanta,DeKalb,,,,No,199,
GA,Bedford Park,Atlanta,DeKalb,,,,No,272,
GA,Bella Grand,Marietta,Cobb,,,,No,192,
GA,CHAMBLEE HEIGHTS,Chamblee,DeKalb,,,,No,170,
GA,Citizens Square Villas,Dallas,Paulding,,,,No,100,
GA,Defeased,(multiple),,,,,No,402,
GA,Forsyth Row,Savannah,Chatham,,,,No,142,
GA,GREENHILL APARTMENTS,Columbus,Muscogee,"3528 Gentian Blvd, Columbus, GA 31907",raw_data,1.0,Yes,258,
GA,Hill District Flats,Augusta,Richmond,,,,No,124,
GA,Landings Edge,Savannah,Chatham,,,,No,72,
GA,Legacy Commons,Tucker,Gwinnett,,,,No,288,
GA,Macon Central Park,Macon,Bibb,,,,No,155,
GA,Marsh Landing Apartments,Brunswick,Glynn,,,,No,862,
GA,PINE HILLS,Smyrna,Cobb,,,,No,48,
GA,Peach Tree Lofts,Atlanta,,,,,No,140,
GA,Peachtree Multifamily One,Atlanta,Fulton,,,,No,245,
GA,Perimeter Bend (control),Augusta,Richmond,,,,No,110,
GA,Riverwalk Augusta,Augusta,Richmond,,,,No,156,
GA,SHADOW LAKE APARTMENTS,Doraville,Dekalb,,,,No,228,
GA,Savannah Historic Residences,Savannah,Chatham,,,,No,180,
GA,Savannah Trellis,Savannah,Chatham,,,,No,168,
GA,Southern Woods,Tucker,GWINNETT,,,,No,104,
GA,Stanford Oaks,Tucker,DeKalb,,,,No,202,
GA,Studio 9Forty Apartments,Atlanta,Fulton,,,,No,24,
GA,Summerville Court,Augusta,Richmond,,,,No,88,
GA,Tifton Student Housing,Tifton,Tift,,,,No,240,
GA,Tybee Gateway,Savannah,Chatham,,,,No,104,
GA,Valleybrook Apartments,Newnan,Coweta,,,,No,71,
GA,Walden Brook Apartments,Lithonia,DeKalb,,,,No,256,
GA,Westpark Club,Athens,Clarke,,,,No,244,
GA,Woodland Trace Apartments,Conyers,Rockdale,,,,No,376,
KS,Flats at Dunlap,,,,,,No,,
KS,Hawthorne Place Townhomes,Lawrence,Douglas,,,,No,38,
KS,Kansas City Metropolitan,Kansas City,Wyandotte,,,,No,270,
KS,MARIPOSA TOWNHOMES,Topeka,Shawnee,,,,No,54,
KS,Olathe Midtown,Olathe,Johnson,,,,No,160,
KS,Overland Park Residences,Overland Park,Johnson,,,,No,200,
KS,ROYAL RIDGE APARTMENTS,Kansas City,Wyandotte,,,,No,345,
KS,SUNTREE APARTMENTS,Kansas City,Wyandotte,"3040 Suntree Plz, Kansas City, KS 66103",raw_data,1.0,Yes,216,
KS,THE BLUFFS,Junction City,Geary,,,,No,544,
KS,Terrace Pointe Apartments,Kansas City,Wyandotte,"641 S 71st Terrace, Kansas City, KS 66111",raw_data,1.0,Yes,125,
KS,Topeka Heights Residential,Topeka,Shawnee,,,,No,150,
KS,Wichita Central Living,Wichita,Sedgwick,,,,No,240,
KY,Covington Riverfront,Covington,Kenton,,,,No,155,
KY,Hayfield,Burlington,BOONE,"5519 Limaburg Rd, Burlington, KY 41005",raw_data,1.0,Yes,86,
KY,Lexington Park Commons,Lexington,Fayette,,,,No,180,
KY,Louisville Riverfront,Louisville,Jefferson,,,,No,240,
KY,Owensboro Central,Owensboro,Daviess,,,,No,140,
KY,Patriot Crossing Apartments,Louisville,Jefferson,,,,No,362,
LA,AUDUBON VILLAGE,Bridge City,Jefferson,"1433 Utah Beach Dr, Bridge City, LA 70094",raw_data,1.0,Yes,136,
LA,Baton Rouge South Park,Baton Rouge,East Baton Rouge,,,,No,160,
LA,Edgewood Apartments,Baton Rouge,E. Baton Rouge Parish,"4949 Stumberg Ln, Baton Rouge, LA 70816",raw_data,1.0,Yes,264,
LA,Fox Creek Apartments,Shreveport,Caddo Parish,,,,No,128,
LA,Lafayette Garden Apartments,Lafayette,Lafayette,,,,No,175,
LA,Magnolia Gardens,Baton Rouge,E. Baton Rouge Parish,,,,No,119,
LA,Monroe Park Plaza,Monroe,Ouachita,,,,No,135,
LA,New Orleans Garden District,New Orleans,Orleans,,,,No,210,
LA,Palms at Sunset Lakes,Zachary,East Baton Rouge,,,,No,144,
LA,Shreveport Central Apartments,Shreveport,Caddo,,,,No,130,
LA,Summertree Apartments,Shreveport,Caddo,"3126 W Bert Kouns Industrial Loop, Shreveport, LA 71118",raw_data,1.0,Yes,202,
NC,ADDISON RIDGE APARTMENTS - PHASE II,Fayetteville,Cumberland,,,,No,214,
NC,Allen Ridge Luxury Apartments,Greenville,Pitt,"1005 Allen Ridge Dr, Greenville, NC 27834",raw_data,1.0,Yes,56,
NC,BRITT LAKES,Fayetteville,Cumberland,"2920 Cosmo Dr, Fayetteville, NC 28304",raw_data,1.0,Yes,216,
NC,BRYAN WOODS APARTMENTS,Garner,Wake,,,,No,160,
NC,CREEKSIDE AT KENNEDY MILL,High Point,Guilford,,,,No,80,
NC,Charlotte Corporate Park,Charlotte,Mecklenburg,,,,No,190,
NC,EAGLE POINT VILLAGE APARTMENTS,Fayetteville,Cumberland,,,,No,300,
NC,Fayetteville Military District,Fayetteville,Cumberland,,,,No,160,
NC,Greenrock Estates,Charlotte,Mecklenburg,"4001 Conway Ave, Charlotte, NC 28209",raw_data,1.0,Yes,296,
NC,Greensboro Market Place,Greensboro,Guilford,,,,No,140,
NC,HAWKS LANDING APARTMENTS,Hickory,Catawba,,,,No,144,
NC,Heights At Mcarthur Park,Fayetteville,Cumberland,,,,No,288,
NC,Mill on Main,Waxhaw,Union,,,,No,66,
NC,OAK COURT APARTMENTS,Wilmington,New Hanover,,,,No,30,
NC,Osprey Cove South,Jacksonville,Onslow,,,,No,228,
NC,Raleigh Tech Square,Raleigh,Wake,,,,No,170,
NC,THE CLIFFS AT WATERFORD,Spring Lake,Cumberland,,,,No,144,
NC,The Retreat Apartments,Greensboro,Guilford,,,,No,503,
NC,Westlake At Morganton Apartments,Fayetteville,Cumberland,,,,No,327,
NC,Wilmington Downtown Living,Wilmington,New Hanover,,,,No,145,
TX,2000 Penn,,,,,,No,,
TX,Aggieland Flats,College Station,Brazos,,,,No,184,
TX,Amarillo Sunrise Apartments,Amarillo,Potter,,,,No,175,
TX,Angleton Industrial,Angleton,Brazoria,,,,No,140,
TX,Arlington Marketplace Apartments,Arlington,Tarrant,,,,No,170,
TX,Arzano,,,,,,No,,
TX,Athens Liberty,Athens,Henderson,,,,No,160,
TX,Austin Central Living,Austin,Travis,,,,No,160,
TX,Autumn Ridge Apartments,Baytown,Harris,"510 Massey Tompkins Rd, Baytown, TX 77521",raw_data,1.0,Yes,199,
TX,BILTMORE APARTMENTS,Arlington,Tarrant,,,,No,186,
TX,BOSTON CREEK APARTMENTS,Lubbock,Lubbock,"2701 44th St, Lubbock, TX 79413",raw_data,1.0,Yes,349,
TX,BRAES HOLLOW APARTMENTS,Houston,Harris,"8701 S Braeswood Blvd, Houston, TX 77031",raw_data,1.0,Yes,254,
TX,Baytown Refinery District,Baytown,Harris,,,,No,175,
TX,Beaumont Downtown,Beaumont,Jefferson,,,,No,185,
TX,Beaumont Industrial Park,Beaumont,Jefferson,,,,No,155,
TX,Bennett Property,Dallas,Dallas,,,,No,52,
