Property Name,City,County,State,Google Maps Link,Apartments.com Link,Zillow Link,County Assessor Link,Address (to be filled),Confidence,Source,Notes
Warehouse Lofts,Tampa,Hillsborough,FL,https://www.google.com/maps/search/Warehouse+Lofts+Tampa+FL,https://www.apartments.com/search/?q=Warehouse+Lofts+Tampa+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Warehouse+Lofts+Tampa+FL%22%7D,https://google.com/search?q=Hillsborough+county+assessor+FL,,1.0,manual_verification,
Whitney Place Townhomes,Clearwater,Pinellas,FL,https://www.google.com/maps/search/Whitney+Place+Townhomes+Clearwater+FL,https://www.apartments.com/search/?q=Whitney+Place+Townhomes+Clearwater+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Whitney+Place+Townhomes+Clearwater+FL%22%7D,https://google.com/search?q=Pinellas+county+assessor+FL,,1.0,manual_verification,
Edison Grand,Fort Myers,Lee,FL,https://www.google.com/maps/search/Edison+Grand+Fort+Myers+FL,https://www.apartments.com/search/?q=Edison+Grand+Fort+Myers+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Edison+Grand+Fort+Myers+FL%22%7D,https://google.com/search?q=Lee+county+assessor+FL,,1.0,manual_verification,
Innovo at Waters,Tampa,Hillsborough,FL,https://www.google.com/maps/search/Innovo+at+Waters+Tampa+FL,https://www.apartments.com/search/?q=Innovo+at+Waters+Tampa+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Innovo+at+Waters+Tampa+FL%22%7D,https://google.com/search?q=Hillsborough+county+assessor+FL,,1.0,manual_verification,
Southern Garden,Valparaiso,Okaloosa,FL,https://www.google.com/maps/search/Southern+Garden+Valparaiso+FL,https://www.apartments.com/search/?q=Southern+Garden+Valparaiso+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Southern+Garden+Valparaiso+FL%22%7D,https://google.com/search?q=Okaloosa+county+assessor+FL,,1.0,manual_verification,
COTTAGE COVE APARTMENTS,Miami,Miami-Dade,FL,https://www.google.com/maps/search/COTTAGE+COVE+APARTMENTS+Miami+FL,https://www.apartments.com/search/?q=COTTAGE+COVE+APARTMENTS+Miami+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22COTTAGE+COVE+APARTMENTS+Miami+FL%22%7D,https://google.com/search?q=Miami-Dade+county+assessor+FL,,1.0,manual_verification,
Columbia Arms and Aspen-Alpine Apartments,Lake City,Columbia,FL,https://www.google.com/maps/search/Columbia+Arms+and+Aspen-Alpine+Apartments+Lake+City+FL,https://www.apartments.com/search/?q=Columbia+Arms+and+Aspen-Alpine+Apartments+Lake+City+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Columbia+Arms+and+Aspen-Alpine+Apartments+Lake+City+FL%22%7D,https://google.com/search?q=Columbia+county+assessor+FL,,1.0,manual_verification,
The Avenue,Davie,Broward,FL,https://www.google.com/maps/search/The+Avenue+Davie+FL,https://www.apartments.com/search/?q=The+Avenue+Davie+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22The+Avenue+Davie+FL%22%7D,https://google.com/search?q=Broward+county+assessor+FL,,1.0,manual_verification,
Wilton Walk Townhomes,Wilton Manors,Broward,FL,https://www.google.com/maps/search/Wilton+Walk+Townhomes+Wilton+Manors+FL,https://www.apartments.com/search/?q=Wilton+Walk+Townhomes+Wilton+Manors+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Wilton+Walk+Townhomes+Wilton+Manors+FL%22%7D,https://google.com/search?q=Broward+county+assessor+FL,,1.0,manual_verification,
The Club at Crystal Lake,Deerfield Beach,Broward,FL,https://www.google.com/maps/search/The+Club+at+Crystal+Lake+Deerfield+Beach+FL,https://www.apartments.com/search/?q=The+Club+at+Crystal+Lake+Deerfield+Beach+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22The+Club+at+Crystal+Lake+Deerfield+Beach+FL%22%7D,https://google.com/search?q=Broward+county+assessor+FL,,1.0,manual_verification,
The Courtyards at San Jose,Jacksonville,Duval,FL,https://www.google.com/maps/search/The+Courtyards+at+San+Jose+Jacksonville+FL,https://www.apartments.com/search/?q=The+Courtyards+at+San+Jose+Jacksonville+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22The+Courtyards+at+San+Jose+Jacksonville+FL%22%7D,https://google.com/search?q=Duval+county+assessor+FL,,1.0,manual_verification,
Cane Island Loop,Kissimmee,Osceola,FL,https://www.google.com/maps/search/Cane+Island+Loop+Kissimmee+FL,https://www.apartments.com/search/?q=Cane+Island+Loop+Kissimmee+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Cane+Island+Loop+Kissimmee+FL%22%7D,https://google.com/search?q=Osceola+county+assessor+FL,,1.0,manual_verification,
Lynn Haven Cove,Lynn Haven,Bay,FL,https://www.google.com/maps/search/Lynn+Haven+Cove+Lynn+Haven+FL,https://www.apartments.com/search/?q=Lynn+Haven+Cove+Lynn+Haven+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Lynn+Haven+Cove+Lynn+Haven+FL%22%7D,https://google.com/search?q=Bay+county+assessor+FL,,1.0,manual_verification,
Portofino Cove,Fort Myers,Lee,FL,https://www.google.com/maps/search/Portofino+Cove+Fort+Myers+FL,https://www.apartments.com/search/?q=Portofino+Cove+Fort+Myers+FL,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Portofino+Cove+Fort+Myers+FL%22%7D,https://google.com/search?q=Lee+county+assessor+FL,,1.0,manual_verification,
