Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
Clubside Apartments,Venice,Sarasota,FL,https://www.google.com/search?q=Clubside+Apartments+Venice+FL+website,https://www.apartments.com/search/?q=Clubside+Apartments+Venice+FL,https://www.google.com/search?q=Clubside+Apartments+Venice+property+management+company,,official,,,,1.0,manual_verification,
Beach Bluff Apartments,Jacksonville,Duval,FL,https://www.google.com/search?q=Beach+Bluff+Apartments+Jacksonville+FL+website,https://www.apartments.com/search/?q=Beach+Bluff+Apartments+Jacksonville+FL,https://www.google.com/search?q=Beach+Bluff+Apartments+Jacksonville+property+management+company,,official,,,,1.0,manual_verification,
Warehouse Lofts,Tampa,Hillsborough,FL,https://www.google.com/search?q=Warehouse+Lofts+Tampa+FL+website,https://www.apartments.com/search/?q=Warehouse+Lofts+Tampa+FL,https://www.google.com/search?q=Warehouse+Lofts+Tampa+property+management+company,,official,,,,1.0,manual_verification,
EVERGREEN AT SOUTHWOOD,Tallahassee,Leon,FL,https://www.google.com/search?q=EVERGREEN+AT+SOUTHWOOD+Tallahassee+FL+website,https://www.apartments.com/search/?q=EVERGREEN+AT+SOUTHWOOD+Tallahassee+FL,https://www.google.com/search?q=EVERGREEN+AT+SOUTHWOOD+Tallahassee+property+management+company,,official,,,,1.0,manual_verification,
Whitney Place Townhomes,Clearwater,Pinellas,FL,https://www.google.com/search?q=Whitney+Place+Townhomes+Clearwater+FL+website,https://www.apartments.com/search/?q=Whitney+Place+Townhomes+Clearwater+FL,https://www.google.com/search?q=Whitney+Place+Townhomes+Clearwater+property+management+company,,official,,,,1.0,manual_verification,
Edison Grand,Fort Myers,Lee,FL,https://www.google.com/search?q=Edison+Grand+Fort+Myers+FL+website,https://www.apartments.com/search/?q=Edison+Grand+Fort+Myers+FL,https://www.google.com/search?q=Edison+Grand+Fort+Myers+property+management+company,,official,,,,1.0,manual_verification,
Innovo at Waters,Tampa,Hillsborough,FL,https://www.google.com/search?q=Innovo+at+Waters+Tampa+FL+website,https://www.apartments.com/search/?q=Innovo+at+Waters+Tampa+FL,https://www.google.com/search?q=Innovo+at+Waters+Tampa+property+management+company,,official,,,,1.0,manual_verification,
Innovo at Sunrise,Sunrise,Broward,FL,https://www.google.com/search?q=Innovo+at+Sunrise+Sunrise+FL+website,https://www.apartments.com/search/?q=Innovo+at+Sunrise+Sunrise+FL,https://www.google.com/search?q=Innovo+at+Sunrise+Sunrise+property+management+company,,official,,,,1.0,manual_verification,
Southern Garden,Valparaiso,Okaloosa,FL,https://www.google.com/search?q=Southern+Garden+Valparaiso+FL+website,https://www.apartments.com/search/?q=Southern+Garden+Valparaiso+FL,https://www.google.com/search?q=Southern+Garden+Valparaiso+property+management+company,,official,,,,1.0,manual_verification,
COTTAGE COVE APARTMENTS,Miami,Miami-Dade,FL,https://www.google.com/search?q=COTTAGE+COVE+APARTMENTS+Miami+FL+website,https://www.apartments.com/search/?q=COTTAGE+COVE+APARTMENTS+Miami+FL,https://www.google.com/search?q=COTTAGE+COVE+APARTMENTS+Miami+property+management+company,,official,,,,1.0,manual_verification,
