Property Name,City,County,State,Google Maps Link,Apartments.com Link,Zillow Link,County Assessor Link,Address (to be filled),Confidence,Source,Notes
Walden Brook Apartments,Lithonia,DeKalb,GA,https://www.google.com/maps/search/Walden+Brook+Apartments+Lithonia+GA,https://www.apartments.com/search/?q=Walden+Brook+Apartments+Lithonia+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Walden+Brook+Apartments+Lithonia+GA%22%7D,https://google.com/search?q=DeKalb+county+assessor+GA,,1.0,manual_verification,
Tifton Student Housing,Tifton,Tift,GA,https://www.google.com/maps/search/Tifton+Student+Housing+Tifton+GA,https://www.apartments.com/search/?q=Tifton+Student+Housing+Tifton+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Tifton+Student+Housing+Tifton+GA%22%7D,https://google.com/search?q=Tift+county+assessor+GA,,1.0,manual_verification,
SHADOW LAKE APARTMENTS,Doraville,Dekalb,GA,https://www.google.com/maps/search/SHADOW+LAKE+APARTMENTS+Doraville+GA,https://www.apartments.com/search/?q=SHADOW+LAKE+APARTMENTS+Doraville+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22SHADOW+LAKE+APARTMENTS+Doraville+GA%22%7D,https://google.com/search?q=Dekalb+county+assessor+GA,,1.0,manual_verification,
Defeased,(multiple),,GA,https://www.google.com/maps/search/Defeased+(multiple)+GA,https://www.apartments.com/search/?q=Defeased+(multiple)+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Defeased+(multiple)+GA%22%7D,https://google.com/search?q=unknown+county+assessor+GA,,1.0,manual_verification,
2500 BARNSDALE WAY,Albany,Dougherty,GA,https://www.google.com/maps/search/2500+BARNSDALE+WAY+Albany+GA,https://www.apartments.com/search/?q=2500+BARNSDALE+WAY+Albany+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%222500+BARNSDALE+WAY+Albany+GA%22%7D,https://google.com/search?q=Dougherty+county+assessor+GA,,1.0,manual_verification,
BROOKSTONE CROSSING,Atlanta,DeKalb,GA,https://www.google.com/maps/search/BROOKSTONE+CROSSING+Atlanta+GA,https://www.apartments.com/search/?q=BROOKSTONE+CROSSING+Atlanta+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22BROOKSTONE+CROSSING+Atlanta+GA%22%7D,https://google.com/search?q=DeKalb+county+assessor+GA,,1.0,manual_verification,
PINE HILLS,Smyrna,Cobb,GA,https://www.google.com/maps/search/PINE+HILLS+Smyrna+GA,https://www.apartments.com/search/?q=PINE+HILLS+Smyrna+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22PINE+HILLS+Smyrna+GA%22%7D,https://google.com/search?q=Cobb+county+assessor+GA,,1.0,manual_verification,
Citizens Square Villas,Dallas,Paulding,GA,https://www.google.com/maps/search/Citizens+Square+Villas+Dallas+GA,https://www.apartments.com/search/?q=Citizens+Square+Villas+Dallas+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Citizens+Square+Villas+Dallas+GA%22%7D,https://google.com/search?q=Paulding+county+assessor+GA,,1.0,manual_verification,
Marsh Landing Apartments,Brunswick,Glynn,GA,https://www.google.com/maps/search/Marsh+Landing+Apartments+Brunswick+GA,https://www.apartments.com/search/?q=Marsh+Landing+Apartments+Brunswick+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Marsh+Landing+Apartments+Brunswick+GA%22%7D,https://google.com/search?q=Glynn+county+assessor+GA,,1.0,manual_verification,
Westpark Club,Athens,Clarke,GA,https://www.google.com/maps/search/Westpark+Club+Athens+GA,https://www.apartments.com/search/?q=Westpark+Club+Athens+GA,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Westpark+Club+Athens+GA%22%7D,https://google.com/search?q=Clarke+county+assessor+GA,,1.0,manual_verification,
