Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
Walden Brook Apartments,Lithonia,DeKalb,GA,https://www.google.com/search?q=Walden+Brook+Apartments+Lithonia+GA+website,https://www.apartments.com/search/?q=Walden+Brook+Apartments+Lithonia+GA,https://www.google.com/search?q=Walden+Brook+Apartments+Lithonia+property+management+company,,official,,,,1.0,manual_verification,
Tifton Student Housing,Tifton,Tift,GA,https://www.google.com/search?q=Tifton+Student+Housing+Tifton+GA+website,https://www.apartments.com/search/?q=Tifton+Student+Housing+Tifton+GA,https://www.google.com/search?q=Tifton+Student+Housing+Tifton+property+management+company,,official,,,,1.0,manual_verification,
SHADOW LAKE APARTMENTS,Doraville,Dekalb,GA,https://www.google.com/search?q=SHADOW+LAKE+APARTMENTS+Doraville+GA+website,https://www.apartments.com/search/?q=SHADOW+LAKE+APARTMENTS+Doraville+GA,https://www.google.com/search?q=SHADOW+LAKE+APARTMENTS+Doraville+property+management+company,,official,,,,1.0,manual_verification,
Defeased,(multiple),,GA,https://www.google.com/search?q=Defeased+(multiple)+GA+website,https://www.apartments.com/search/?q=Defeased+(multiple)+GA,https://www.google.com/search?q=Defeased+(multiple)+property+management+company,,official,,,,1.0,manual_verification,
2500 BARNSDALE WAY,Albany,Dougherty,GA,https://www.google.com/search?q=2500+BARNSDALE+WAY+Albany+GA+website,https://www.apartments.com/search/?q=2500+BARNSDALE+WAY+Albany+GA,https://www.google.com/search?q=2500+BARNSDALE+WAY+Albany+property+management+company,,official,,,,1.0,manual_verification,
BROOKSTONE CROSSING,Atlanta,DeKalb,GA,https://www.google.com/search?q=BROOKSTONE+CROSSING+Atlanta+GA+website,https://www.apartments.com/search/?q=BROOKSTONE+CROSSING+Atlanta+GA,https://www.google.com/search?q=BROOKSTONE+CROSSING+Atlanta+property+management+company,,official,,,,1.0,manual_verification,
PINE HILLS,Smyrna,Cobb,GA,https://www.google.com/search?q=PINE+HILLS+Smyrna+GA+website,https://www.apartments.com/search/?q=PINE+HILLS+Smyrna+GA,https://www.google.com/search?q=PINE+HILLS+Smyrna+property+management+company,,official,,,,1.0,manual_verification,
Citizens Square Villas,Dallas,Paulding,GA,https://www.google.com/search?q=Citizens+Square+Villas+Dallas+GA+website,https://www.apartments.com/search/?q=Citizens+Square+Villas+Dallas+GA,https://www.google.com/search?q=Citizens+Square+Villas+Dallas+property+management+company,,official,,,,1.0,manual_verification,
Marsh Landing Apartments,Brunswick,Glynn,GA,https://www.google.com/search?q=Marsh+Landing+Apartments+Brunswick+GA+website,https://www.apartments.com/search/?q=Marsh+Landing+Apartments+Brunswick+GA,https://www.google.com/search?q=Marsh+Landing+Apartments+Brunswick+property+management+company,,official,,,,1.0,manual_verification,
Westpark Club,Athens,Clarke,GA,https://www.google.com/search?q=Westpark+Club+Athens+GA+website,https://www.apartments.com/search/?q=Westpark+Club+Athens+GA,https://www.google.com/search?q=Westpark+Club+Athens+property+management+company,,official,,,,1.0,manual_verification,
