Property Name,City,County,Google Maps,Google Search,Apartments.com,Zillow,County Assessor,Confidence,Address (to be filled),Source (to be filled)
MARIPOSA TOWNHOMES,Topeka,Shawnee,https://www.google.com/maps/search/MARIPOSA%20TOWNHOMES%20Topeka%20FL,https://www.google.com/search?q=%22MARIPOSA%20TOWNHOMES%22%20%22Topeka%22%20%22FL%22%20address,https://www.apartments.com/search/?query=MARIPOSA%20TOWNHOMES%20Topeka,https://www.zillow.com/homes/MARIPOSA%20TOWNHOMES%20Topeka%20FL_rb/,,Manual,,
ROYAL RIDGE APARTMENTS,Kansas City,Wyandotte,https://www.google.com/maps/search/ROYAL%20RIDGE%20APARTMENTS%20Kansas%20City%20FL,https://www.google.com/search?q=%22ROYAL%20RIDGE%20APARTMENTS%22%20%22Kansas%20City%22%20%22FL%22%20address,https://www.apartments.com/search/?query=ROYAL%20RIDGE%20APARTMENTS%20Kansas%20City,https://www.zillow.com/homes/ROYAL%20RIDGE%20APARTMENTS%20Kansas%20City%20FL_rb/,,Manual,,
THE BLUFFS,Junction City,Geary,https://www.google.com/maps/search/THE%20BLUFFS%20Junction%20City%20FL,https://www.google.com/search?q=%22THE%20BLUFFS%22%20%22Junction%20City%22%20%22FL%22%20address,https://www.apartments.com/search/?query=THE%20BLUFFS%20Junction%20City,https://www.zillow.com/homes/THE%20BLUFFS%20Junction%20City%20FL_rb/,,Manual,,
Hawthorne Place Townhomes,Lawrence,Douglas,https://www.google.com/maps/search/Hawthorne%20Place%20Townhomes%20Lawrence%20FL,https://www.google.com/search?q=%22Hawthorne%20Place%20Townhomes%22%20%22Lawrence%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Hawthorne%20Place%20Townhomes%20Lawrence,https://www.zillow.com/homes/Hawthorne%20Place%20Townhomes%20Lawrence%20FL_rb/,,Manual,,
Kansas City Metropolitan,Kansas City,Wyandotte,https://www.google.com/maps/search/Kansas%20City%20Metropolitan%20Kansas%20City%20FL,https://www.google.com/search?q=%22Kansas%20City%20Metropolitan%22%20%22Kansas%20City%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Kansas%20City%20Metropolitan%20Kansas%20City,https://www.zillow.com/homes/Kansas%20City%20Metropolitan%20Kansas%20City%20FL_rb/,,Manual,,
Topeka Heights Residential,Topeka,Shawnee,https://www.google.com/maps/search/Topeka%20Heights%20Residential%20Topeka%20FL,https://www.google.com/search?q=%22Topeka%20Heights%20Residential%22%20%22Topeka%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Topeka%20Heights%20Residential%20Topeka,https://www.zillow.com/homes/Topeka%20Heights%20Residential%20Topeka%20FL_rb/,,Manual,,
Wichita Central Living,Wichita,Sedgwick,https://www.google.com/maps/search/Wichita%20Central%20Living%20Wichita%20FL,https://www.google.com/search?q=%22Wichita%20Central%20Living%22%20%22Wichita%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Wichita%20Central%20Living%20Wichita,https://www.zillow.com/homes/Wichita%20Central%20Living%20Wichita%20FL_rb/,,Manual,,
Olathe Midtown,Olathe,Johnson,https://www.google.com/maps/search/Olathe%20Midtown%20Olathe%20FL,https://www.google.com/search?q=%22Olathe%20Midtown%22%20%22Olathe%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Olathe%20Midtown%20Olathe,https://www.zillow.com/homes/Olathe%20Midtown%20Olathe%20FL_rb/,,Manual,,
Overland Park Residences,Overland Park,Johnson,https://www.google.com/maps/search/Overland%20Park%20Residences%20Overland%20Park%20FL,https://www.google.com/search?q=%22Overland%20Park%20Residences%22%20%22Overland%20Park%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Overland%20Park%20Residences%20Overland%20Park,https://www.zillow.com/homes/Overland%20Park%20Residences%20Overland%20Park%20FL_rb/,,Manual,,
Flats at Dunlap,,Unknown,https://www.google.com/maps/search/Flats%20at%20Dunlap%20%20FL,https://www.google.com/search?q=%22Flats%20at%20Dunlap%22%20%22%22%20%22FL%22%20address,https://www.apartments.com/search/?query=Flats%20at%20Dunlap%20,https://www.zillow.com/homes/Flats%20at%20Dunlap%20%20FL_rb/,,Manual,,
