Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
MARIPOSA TOWNHOMES,Topeka,Shawnee,KS,https://www.google.com/search?q=MARIPOSA+TOWNHOMES+Topeka+KS+website,https://www.apartments.com/search/?q=MARIPOSA+TOWNHOMES+Topeka+KS,https://www.google.com/search?q=MARIPOSA+TOWNHOMES+Topeka+property+management+company,,official,,,,1.0,manual_verification,
ROYAL RIDGE APARTMENTS,Kansas City,Wyandotte,KS,https://www.google.com/search?q=ROYAL+RIDGE+APARTMENTS+Kansas+City+KS+website,https://www.apartments.com/search/?q=ROYAL+RIDGE+APARTMENTS+Kansas+City+KS,https://www.google.com/search?q=ROYAL+RIDGE+APARTMENTS+Kansas+City+property+management+company,,official,,,,1.0,manual_verification,
THE BLUFFS,Junction City,Geary,KS,https://www.google.com/search?q=THE+BLUFFS+Junction+City+KS+website,https://www.apartments.com/search/?q=THE+BLUFFS+Junction+City+KS,https://www.google.com/search?q=THE+BLUFFS+Junction+City+property+management+company,,official,,,,1.0,manual_verification,
Terrace Pointe Apartments,Kansas City,Wyandotte,KS,https://www.google.com/search?q=Terrace+Pointe+Apartments+Kansas+City+KS+website,https://www.apartments.com/search/?q=Terrace+Pointe+Apartments+Kansas+City+KS,https://www.google.com/search?q=Terrace+Pointe+Apartments+Kansas+City+property+management+company,,official,,,,1.0,manual_verification,
Hawthorne Place Townhomes,Lawrence,Douglas,KS,https://www.google.com/search?q=Hawthorne+Place+Townhomes+Lawrence+KS+website,https://www.apartments.com/search/?q=Hawthorne+Place+Townhomes+Lawrence+KS,https://www.google.com/search?q=Hawthorne+Place+Townhomes+Lawrence+property+management+company,,official,,,,1.0,manual_verification,
SUNTREE APARTMENTS,Kansas City,Wyandotte,KS,https://www.google.com/search?q=SUNTREE+APARTMENTS+Kansas+City+KS+website,https://www.apartments.com/search/?q=SUNTREE+APARTMENTS+Kansas+City+KS,https://www.google.com/search?q=SUNTREE+APARTMENTS+Kansas+City+property+management+company,,official,,,,1.0,manual_verification,
Kansas City Metropolitan,Kansas City,Wyandotte,KS,https://www.google.com/search?q=Kansas+City+Metropolitan+Kansas+City+KS+website,https://www.apartments.com/search/?q=Kansas+City+Metropolitan+Kansas+City+KS,https://www.google.com/search?q=Kansas+City+Metropolitan+Kansas+City+property+management+company,,official,,,,1.0,manual_verification,
Topeka Heights Residential,Topeka,Shawnee,KS,https://www.google.com/search?q=Topeka+Heights+Residential+Topeka+KS+website,https://www.apartments.com/search/?q=Topeka+Heights+Residential+Topeka+KS,https://www.google.com/search?q=Topeka+Heights+Residential+Topeka+property+management+company,,official,,,,1.0,manual_verification,
Wichita Central Living,Wichita,Sedgwick,KS,https://www.google.com/search?q=Wichita+Central+Living+Wichita+KS+website,https://www.apartments.com/search/?q=Wichita+Central+Living+Wichita+KS,https://www.google.com/search?q=Wichita+Central+Living+Wichita+property+management+company,,official,,,,1.0,manual_verification,
Olathe Midtown,Olathe,Johnson,KS,https://www.google.com/search?q=Olathe+Midtown+Olathe+KS+website,https://www.apartments.com/search/?q=Olathe+Midtown+Olathe+KS,https://www.google.com/search?q=Olathe+Midtown+Olathe+property+management+company,,official,,,,1.0,manual_verification,
Overland Park Residences,Overland Park,Johnson,KS,https://www.google.com/search?q=Overland+Park+Residences+Overland+Park+KS+website,https://www.apartments.com/search/?q=Overland+Park+Residences+Overland+Park+KS,https://www.google.com/search?q=Overland+Park+Residences+Overland+Park+property+management+company,,official,,,,1.0,manual_verification,
Flats at Dunlap,,,KS,https://www.google.com/search?q=Flats+at+Dunlap++KS+website,https://www.apartments.com/search/?q=Flats+at+Dunlap++KS,https://www.google.com/search?q=Flats+at+Dunlap++property+management+company,,official,,,,1.0,manual_verification,
