Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
Palms at Sunset Lakes,Zachary,East Baton Rouge,LA,https://www.google.com/search?q=Palms+at+Sunset+Lakes+Zachary+LA+website,https://www.apartments.com/search/?q=Palms+at+Sunset+Lakes+Zachary+LA,https://www.google.com/search?q=Palms+at+Sunset+Lakes+Zachary+property+management+company,,official,,,,1.0,manual_verification,
Fox Creek Apartments,Shreveport,Caddo Parish,LA,https://www.google.com/search?q=Fox+Creek+Apartments+Shreveport+LA+website,https://www.apartments.com/search/?q=Fox+Creek+Apartments+Shreveport+LA,https://www.google.com/search?q=Fox+Creek+Apartments+Shreveport+property+management+company,,official,,,,1.0,manual_verification,
Summertree Apartments,Shreveport,Caddo,LA,https://www.google.com/search?q=Summertree+Apartments+Shreveport+LA+website,https://www.apartments.com/search/?q=Summertree+Apartments+Shreveport+LA,https://www.google.com/search?q=Summertree+Apartments+Shreveport+property+management+company,,official,,,,1.0,manual_verification,
Edgewood Apartments,Baton Rouge,E. Baton Rouge Parish,LA,https://www.google.com/search?q=Edgewood+Apartments+Baton+Rouge+LA+website,https://www.apartments.com/search/?q=Edgewood+Apartments+Baton+Rouge+LA,https://www.google.com/search?q=Edgewood+Apartments+Baton+Rouge+property+management+company,,official,,,,1.0,manual_verification,
Magnolia Gardens,Baton Rouge,E. Baton Rouge Parish,LA,https://www.google.com/search?q=Magnolia+Gardens+Baton+Rouge+LA+website,https://www.apartments.com/search/?q=Magnolia+Gardens+Baton+Rouge+LA,https://www.google.com/search?q=Magnolia+Gardens+Baton+Rouge+property+management+company,,official,,,,1.0,manual_verification,
AUDUBON VILLAGE,Bridge City,Jefferson,LA,https://www.google.com/search?q=AUDUBON+VILLAGE+Bridge+City+LA+website,https://www.apartments.com/search/?q=AUDUBON+VILLAGE+Bridge+City+LA,https://www.google.com/search?q=AUDUBON+VILLAGE+Bridge+City+property+management+company,,official,,,,1.0,manual_verification,
New Orleans Garden District,New Orleans,Orleans,LA,https://www.google.com/search?q=New+Orleans+Garden+District+New+Orleans+LA+website,https://www.apartments.com/search/?q=New+Orleans+Garden+District+New+Orleans+LA,https://www.google.com/search?q=New+Orleans+Garden+District+New+Orleans+property+management+company,,official,,,,1.0,manual_verification,
Baton Rouge South Park,Baton Rouge,East Baton Rouge,LA,https://www.google.com/search?q=Baton+Rouge+South+Park+Baton+Rouge+LA+website,https://www.apartments.com/search/?q=Baton+Rouge+South+Park+Baton+Rouge+LA,https://www.google.com/search?q=Baton+Rouge+South+Park+Baton+Rouge+property+management+company,,official,,,,1.0,manual_verification,
Shreveport Central Apartments,Shreveport,Caddo,LA,https://www.google.com/search?q=Shreveport+Central+Apartments+Shreveport+LA+website,https://www.apartments.com/search/?q=Shreveport+Central+Apartments+Shreveport+LA,https://www.google.com/search?q=Shreveport+Central+Apartments+Shreveport+property+management+company,,official,,,,1.0,manual_verification,
Monroe Park Plaza,Monroe,Ouachita,LA,https://www.google.com/search?q=Monroe+Park+Plaza+Monroe+LA+website,https://www.apartments.com/search/?q=Monroe+Park+Plaza+Monroe+LA,https://www.google.com/search?q=Monroe+Park+Plaza+Monroe+property+management+company,,official,,,,1.0,manual_verification,
Lafayette Garden Apartments,Lafayette,Lafayette,LA,https://www.google.com/search?q=Lafayette+Garden+Apartments+Lafayette+LA+website,https://www.apartments.com/search/?q=Lafayette+Garden+Apartments+Lafayette+LA,https://www.google.com/search?q=Lafayette+Garden+Apartments+Lafayette+property+management+company,,official,,,,1.0,manual_verification,
