Property Name,City,County,Search URL,Address (to fill),Source (to fill),Confidence
Clubside Apartments,Venice,Sarasota,https://www.google.com/search?q=Clubside%20Apartments+Venice+Florida+address,,,1.0
Beach Bluff Apartments,Jacksonville,Duval,https://www.google.com/search?q=Beach%20Bluff%20Apartments+Jacksonville+Florida+address,,,1.0
Warehouse Lofts,Tampa,Hillsborough,https://www.google.com/search?q=Warehouse%20Lofts+Tampa+Florida+address,,,1.0
Whitney Place Townhomes,Clearwater,Pinellas,https://www.google.com/search?q=Whitney%20Place%20Townhomes+Clearwater+Florida+address,,,1.0
Edison Grand,Fort Myers,Lee,https://www.google.com/search?q=Edison%20Grand+Fort%20Myers+Florida+address,,,1.0
Innovo at Waters,Tampa,Hillsborough,https://www.google.com/search?q=Innovo%20at%20Waters+Tampa+Florida+address,,,1.0
Innovo at Sunrise,Sunrise,Broward,https://www.google.com/search?q=Innovo%20at%20Sunrise+Sunrise+Florida+address,,,1.0
Southern Garden,Valparaiso,Okaloosa,https://www.google.com/search?q=Southern%20Garden+Valparaiso+Florida+address,,,1.0
COTTAGE COVE APARTMENTS,Miami,Miami-Dade,https://www.google.com/search?q=COTTAGE%20COVE%20APARTMENTS+Miami+Florida+address,,,1.0
Columbia Arms and Aspen-Alpine Apartments,Lake City,Columbia,https://www.google.com/search?q=Columbia%20Arms%20and%20Aspen-Alpine%20Apartments+Lake%20City+Florida+address,,,1.0
The Avenue,Davie,Broward,https://www.google.com/search?q=The%20Avenue+Davie+Florida+address,,,1.0
Wilton Walk Townhomes,Wilton Manors,Broward,https://www.google.com/search?q=Wilton%20Walk%20Townhomes+Wilton%20Manors+Florida+address,,,1.0
The Club at Crystal Lake,Deerfield Beach,Broward,https://www.google.com/search?q=The%20Club%20at%20Crystal%20Lake+Deerfield%20Beach+Florida+address,,,1.0
The Courtyards at San Jose,Jacksonville,Duval,https://www.google.com/search?q=The%20Courtyards%20at%20San%20Jose+Jacksonville+Florida+address,,,1.0
Cane Island Loop,Kissimmee,Osceola,https://www.google.com/search?q=Cane%20Island%20Loop+Kissimmee+Florida+address,,,1.0
Lynn Haven Cove,Lynn Haven,Bay,https://www.google.com/search?q=Lynn%20Haven%20Cove+Lynn%20Haven+Florida+address,,,1.0
Portofino Cove,Fort Myers,Lee,https://www.google.com/search?q=Portofino%20Cove+Fort%20Myers+Florida+address,,,1.0
Danube Apartments,Orlando,Orange,https://www.google.com/search?q=Danube%20Apartments+Orlando+Florida+address,,,1.0
Backlot Apartments,Kissimmee,Osceola,https://www.google.com/search?q=Backlot%20Apartments+Kissimmee+Florida+address,,,1.0
Bella Vista Village,Gainesville,Alachua,https://www.google.com/search?q=Bella%20Vista%20Village+Gainesville+Florida+address,,,1.0
Palm Beach Gardens,West Palm Beach,,https://www.google.com/search?q=Palm%20Beach%20Gardens+West%20Palm%20Beach+Florida+address,,,1.0
Tampa Bay Heights,Tampa,Hillsborough,https://www.google.com/search?q=Tampa%20Bay%20Heights+Tampa+Florida+address,,,1.0
Miami Beach Residences,Miami,Miami-Dade,https://www.google.com/search?q=Miami%20Beach%20Residences+Miami+Florida+address,,,1.0
Jacksonville Waterfront,Jacksonville,Duval,https://www.google.com/search?q=Jacksonville%20Waterfront+Jacksonville+Florida+address,,,1.0
Orlando Gateway Apartments,Orlando,Orange,https://www.google.com/search?q=Orlando%20Gateway%20Apartments+Orlando+Florida+address,,,1.0
Gainesville Campus Quarter,Gainesville,Alachua,https://www.google.com/search?q=Gainesville%20Campus%20Quarter+Gainesville+Florida+address,,,1.0
Pensacola Historic District,Pensacola,Escambia,https://www.google.com/search?q=Pensacola%20Historic%20District+Pensacola+Florida+address,,,1.0
Jacksonvile Beach Towers,Jacksonville,Duval,https://www.google.com/search?q=Jacksonvile%20Beach%20Towers+Jacksonville+Florida+address,,,1.0
Ashton Parc,,,https://www.google.com/search?q=Ashton%20Parc++Florida+address,,,1.0
Cobblestone at Eagle Harbor,,,https://www.google.com/search?q=Cobblestone%20at%20Eagle%20Harbor++Florida+address,,,1.0
