Loan Identifier,Property Name,City,State,Units,Interest Rate,Maturity Date,Current Balance,Original Balance,Debt Service Coverage Ratio,Physical Occupancy,Net Operating Income,County
FM051,Phoenix Desert Springs,Phoenix,TX,195,4.125,2028-01-31,19500000,19800000,1.30,0.92,2535000,Tarrant
FM052,Arlington Marketplace Apartments,Arlington,TX,170,4.000,2029-03-31,17000000,17300000,1.39,0.94,2210000,Tarrant
FM053,Irving Innovation Hub,Irving,TX,185,4.250,2027-09-30,18500000,18900000,1.28,0.91,2318000,Dallas
FM054,Garland Central Station,Garland,TX,160,4.375,2027-03-31,16000000,16300000,1.26,0.90,2080000,Dallas
FM055,Plano Tech Quarter,Plano,TX,220,4.000,2029-01-31,22000000,22400000,1.38,0.93,2970000,Collin
FM056,McKinney Heights,McKinney,TX,165,4.125,2028-06-30,16500000,16800000,1.31,0.92,2145000,Collin
FM057,Denton University Park,Denton,TX,150,4.375,2027-12-31,15000000,15300000,1.25,0.89,1875000,Denton
FM058,Lewisville Lakeside,Lewisville,TX,175,4.250,2027-06-30,17500000,17800000,1.27,0.91,2227500,Denton
FM059,Frisco Northwest,Frisco,TX,200,4.125,2028-09-30,20000000,20400000,1.32,0.92,2600000,Collin
FM060,Grand Prairie Industrial,Grand Prairie,TX,185,4.500,2026-12-31,18500000,18900000,1.22,0.88,2220000,Tarrant
FM061,Desoto Riverside,Desoto,TX,155,4.625,2026-03-31,15500000,15800000,1.18,0.85,1736000,Tarrant
FM062,Cleburne Historic Apartments,Cleburne,TX,140,4.375,2027-09-30,14000000,14300000,1.26,0.90,1750000,Johnson
FM063,Waxahachie Cotton Fields,Waxahachie,TX,160,4.250,2027-12-31,16000000,16300000,1.28,0.92,2080000,Ellis
FM064,Laredo International,Laredo,TX,185,4.500,2027-03-31,18500000,19000000,1.24,0.89,2220000,Webb
FM065,McAllen Gateway,McAllen,TX,175,4.625,2026-09-30,17500000,17800000,1.20,0.87,2100000,Hidalgo
FM066,Harlingen Bay View,Harlingen,TX,150,4.750,2026-06-30,15000000,15300000,1.17,0.85,1650000,Cameron
FM067,Mission Rio Valley,Mission,TX,145,4.375,2027-06-30,14500000,14800000,1.25,0.88,1812500,Hidalgo
FM068,Edinburg Central Park,Edinburg,TX,160,4.250,2027-12-31,16000000,16300000,1.27,0.91,2080000,Hidalgo
FM069,Pharr Commerce District,Pharr,TX,135,4.500,2026-12-31,13500000,13800000,1.22,0.86,1620000,Nueces
FM070,Angleton Industrial,Angleton,TX,140,4.625,2026-09-30,14000000,14300000,1.19,0.84,1610000,Brazoria
FM071,Lake Jackson Bay Side,Lake Jackson,TX,125,4.750,2026-03-31,12500000,12800000,1.15,0.83,1375000,Brazoria
FM072,Bryan Texas Park,Bryan,TX,170,4.375,2027-09-30,17000000,17300000,1.26,0.90,2210000,Brazos
FM073,College Station University,College Station,TX,195,4.125,2028-03-31,19500000,19800000,1.29,0.93,2498000,Brazos
FM074,Conroe Westfield,Conroe,TX,180,4.250,2027-06-30,18000000,18300000,1.28,0.91,2295000,Montgomery
FM075,Woodlands North Gate,Spring,TX,225,4.000,2029-01-31,22500000,22900000,1.37,0.94,3037500,Harris
FM076,Galveston Beach Towers,Galveston,TX,200,4.375,2027-03-31,20000000,20400000,1.26,0.89,2550000,Galveston
FM077,Texas City Refinery Side,Texas City,TX,165,4.500,2026-12-31,16500000,16800000,1.21,0.86,1815000,Galveston
FM078,League City Bay View,League City,TX,155,4.625,2026-09-30,15500000,15800000,1.19,0.85,1829000,Galveston
FM079,Kemah Marina Residences,Kemah,TX,145,4.750,2026-06-30,14500000,14800000,1.17,0.84,1595000,Galveston
FM080,Pearland Park Commons,Pearland,TX,190,4.125,2028-06-30,19000000,19300000,1.31,0.93,2470000,Brazoria
FM081,Katy Central Living,Katy,TX,200,4.000,2029-03-31,20000000,20300000,1.40,0.94,2700000,Harris
FM082,Baytown Refinery District,Baytown,TX,175,4.250,2027-12-31,17500000,17800000,1.28,0.91,2227500,Harris
FM083,Pasadena Industrial Park,Pasadena,TX,160,4.375,2027-03-31,16000000,16300000,1.26,0.90,2080000,Harris
FM084,La Porte Harbor View,La Porte,TX,150,4.500,2026-12-31,15000000,15300000,1.22,0.87,1650000,Harris
FM085,Seabrook Bay Side,Seabrook,TX,140,4.625,2026-09-30,14000000,14300000,1.19,0.85,1610000,Harris
