Property Name,City,County,State,Google Maps Link,Apartments.com Link,Zillow Link,County Assessor Link,Address (to be filled),Confidence,Source,Notes
BRYAN WOODS APARTMENTS,Garner,Wake,NC,https://www.google.com/maps/search/BRYAN+WOODS+APARTMENTS+Garner+NC,https://www.apartments.com/search/?q=BRYAN+WOODS+APARTMENTS+Garner+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22BRYAN+WOODS+APARTMENTS+Garner+NC%22%7D,https://google.com/search?q=Wake+county+assessor+NC,,1.0,manual_verification,
HAWKS LANDING APARTMENTS,Hickory,Catawba,NC,https://www.google.com/maps/search/HAWKS+LANDING+APARTMENTS+Hickory+NC,https://www.apartments.com/search/?q=HAWKS+LANDING+APARTMENTS+Hickory+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22HAWKS+LANDING+APARTMENTS+Hickory+NC%22%7D,https://google.com/search?q=Catawba+county+assessor+NC,,1.0,manual_verification,
Westlake At Morganton Apartments,Fayetteville,Cumberland,NC,https://www.google.com/maps/search/Westlake+At+Morganton+Apartments+Fayetteville+NC,https://www.apartments.com/search/?q=Westlake+At+Morganton+Apartments+Fayetteville+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Westlake+At+Morganton+Apartments+Fayetteville+NC%22%7D,https://google.com/search?q=Cumberland+county+assessor+NC,,1.0,manual_verification,
ADDISON RIDGE APARTMENTS - PHASE II,Fayetteville,Cumberland,NC,https://www.google.com/maps/search/ADDISON+RIDGE+APARTMENTS+-+PHASE+II+Fayetteville+NC,https://www.apartments.com/search/?q=ADDISON+RIDGE+APARTMENTS+-+PHASE+II+Fayetteville+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22ADDISON+RIDGE+APARTMENTS+-+PHASE+II+Fayetteville+NC%22%7D,https://google.com/search?q=Cumberland+county+assessor+NC,,1.0,manual_verification,
CREEKSIDE AT KENNEDY MILL,High Point,Guilford,NC,https://www.google.com/maps/search/CREEKSIDE+AT+KENNEDY+MILL+High+Point+NC,https://www.apartments.com/search/?q=CREEKSIDE+AT+KENNEDY+MILL+High+Point+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22CREEKSIDE+AT+KENNEDY+MILL+High+Point+NC%22%7D,https://google.com/search?q=Guilford+county+assessor+NC,,1.0,manual_verification,
Heights At Mcarthur Park,Fayetteville,Cumberland,NC,https://www.google.com/maps/search/Heights+At+Mcarthur+Park+Fayetteville+NC,https://www.apartments.com/search/?q=Heights+At+Mcarthur+Park+Fayetteville+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Heights+At+Mcarthur+Park+Fayetteville+NC%22%7D,https://google.com/search?q=Cumberland+county+assessor+NC,,1.0,manual_verification,
Mill on Main,Waxhaw,Union,NC,https://www.google.com/maps/search/Mill+on+Main+Waxhaw+NC,https://www.apartments.com/search/?q=Mill+on+Main+Waxhaw+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Mill+on+Main+Waxhaw+NC%22%7D,https://google.com/search?q=Union+county+assessor+NC,,1.0,manual_verification,
Osprey Cove South,Jacksonville,Onslow,NC,https://www.google.com/maps/search/Osprey+Cove+South+Jacksonville+NC,https://www.apartments.com/search/?q=Osprey+Cove+South+Jacksonville+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Osprey+Cove+South+Jacksonville+NC%22%7D,https://google.com/search?q=Onslow+county+assessor+NC,,1.0,manual_verification,
The Retreat Apartments,Greensboro,Guilford,NC,https://www.google.com/maps/search/The+Retreat+Apartments+Greensboro+NC,https://www.apartments.com/search/?q=The+Retreat+Apartments+Greensboro+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22The+Retreat+Apartments+Greensboro+NC%22%7D,https://google.com/search?q=Guilford+county+assessor+NC,,1.0,manual_verification,
EAGLE POINT VILLAGE APARTMENTS,Fayetteville,Cumberland,NC,https://www.google.com/maps/search/EAGLE+POINT+VILLAGE+APARTMENTS+Fayetteville+NC,https://www.apartments.com/search/?q=EAGLE+POINT+VILLAGE+APARTMENTS+Fayetteville+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22EAGLE+POINT+VILLAGE+APARTMENTS+Fayetteville+NC%22%7D,https://google.com/search?q=Cumberland+county+assessor+NC,,1.0,manual_verification,
THE CLIFFS AT WATERFORD,Spring Lake,Cumberland,NC,https://www.google.com/maps/search/THE+CLIFFS+AT+WATERFORD+Spring+Lake+NC,https://www.apartments.com/search/?q=THE+CLIFFS+AT+WATERFORD+Spring+Lake+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22THE+CLIFFS+AT+WATERFORD+Spring+Lake+NC%22%7D,https://google.com/search?q=Cumberland+county+assessor+NC,,1.0,manual_verification,
OAK COURT APARTMENTS,Wilmington,New Hanover,NC,https://www.google.com/maps/search/OAK+COURT+APARTMENTS+Wilmington+NC,https://www.apartments.com/search/?q=OAK+COURT+APARTMENTS+Wilmington+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22OAK+COURT+APARTMENTS+Wilmington+NC%22%7D,https://google.com/search?q=New Hanover+county+assessor+NC,,1.0,manual_verification,
Charlotte Corporate Park,Charlotte,Mecklenburg,NC,https://www.google.com/maps/search/Charlotte+Corporate+Park+Charlotte+NC,https://www.apartments.com/search/?q=Charlotte+Corporate+Park+Charlotte+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Charlotte+Corporate+Park+Charlotte+NC%22%7D,https://google.com/search?q=Mecklenburg+county+assessor+NC,,1.0,manual_verification,
Raleigh Tech Square,Raleigh,Wake,NC,https://www.google.com/maps/search/Raleigh+Tech+Square+Raleigh+NC,https://www.apartments.com/search/?q=Raleigh+Tech+Square+Raleigh+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Raleigh+Tech+Square+Raleigh+NC%22%7D,https://google.com/search?q=Wake+county+assessor+NC,,1.0,manual_verification,
Greensboro Market Place,Greensboro,Guilford,NC,https://www.google.com/maps/search/Greensboro+Market+Place+Greensboro+NC,https://www.apartments.com/search/?q=Greensboro+Market+Place+Greensboro+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Greensboro+Market+Place+Greensboro+NC%22%7D,https://google.com/search?q=Guilford+county+assessor+NC,,1.0,manual_verification,
Wilmington Downtown Living,Wilmington,New Hanover,NC,https://www.google.com/maps/search/Wilmington+Downtown+Living+Wilmington+NC,https://www.apartments.com/search/?q=Wilmington+Downtown+Living+Wilmington+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Wilmington+Downtown+Living+Wilmington+NC%22%7D,https://google.com/search?q=New Hanover+county+assessor+NC,,1.0,manual_verification,
Fayetteville Military District,Fayetteville,Cumberland,NC,https://www.google.com/maps/search/Fayetteville+Military+District+Fayetteville+NC,https://www.apartments.com/search/?q=Fayetteville+Military+District+Fayetteville+NC,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Fayetteville+Military+District+Fayetteville+NC%22%7D,https://google.com/search?q=Cumberland+county+assessor+NC,,1.0,manual_verification,
