Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
BRYAN WOODS APARTMENTS,Garner,Wake,NC,https://www.google.com/search?q=BRYAN+WOODS+APARTMENTS+Garner+NC+website,https://www.apartments.com/search/?q=BRYAN+WOODS+APARTMENTS+Garner+NC,https://www.google.com/search?q=BRYAN+WOODS+APARTMENTS+Garner+property+management+company,,official,,,,1.0,manual_verification,
HAWKS LANDING APARTMENTS,Hickory,Catawba,NC,https://www.google.com/search?q=HAWKS+LANDING+APARTMENTS+Hickory+NC+website,https://www.apartments.com/search/?q=HAWKS+LANDING+APARTMENTS+Hickory+NC,https://www.google.com/search?q=HAWKS+LANDING+APARTMENTS+Hickory+property+management+company,,official,,,,1.0,manual_verification,
Westlake At Morganton Apartments,Fayetteville,Cumberland,NC,https://www.google.com/search?q=Westlake+At+Morganton+Apartments+Fayetteville+NC+website,https://www.apartments.com/search/?q=Westlake+At+Morganton+Apartments+Fayetteville+NC,https://www.google.com/search?q=Westlake+At+Morganton+Apartments+Fayetteville+property+management+company,,official,,,,1.0,manual_verification,
BRITT LAKES,Fayetteville,Cumberland,NC,https://www.google.com/search?q=BRITT+LAKES+Fayetteville+NC+website,https://www.apartments.com/search/?q=BRITT+LAKES+Fayetteville+NC,https://www.google.com/search?q=BRITT+LAKES+Fayetteville+property+management+company,,official,,,,1.0,manual_verification,
Greenrock Estates,Charlotte,Mecklenburg,NC,https://www.google.com/search?q=Greenrock+Estates+Charlotte+NC+website,https://www.apartments.com/search/?q=Greenrock+Estates+Charlotte+NC,https://www.google.com/search?q=Greenrock+Estates+Charlotte+property+management+company,,official,,,,1.0,manual_verification,
ADDISON RIDGE APARTMENTS - PHASE II,Fayetteville,Cumberland,NC,https://www.google.com/search?q=ADDISON+RIDGE+APARTMENTS+-+PHASE+II+Fayetteville+NC+website,https://www.apartments.com/search/?q=ADDISON+RIDGE+APARTMENTS+-+PHASE+II+Fayetteville+NC,https://www.google.com/search?q=ADDISON+RIDGE+APARTMENTS+-+PHASE+II+Fayetteville+property+management+company,,official,,,,1.0,manual_verification,
CREEKSIDE AT KENNEDY MILL,High Point,Guilford,NC,https://www.google.com/search?q=CREEKSIDE+AT+KENNEDY+MILL+High+Point+NC+website,https://www.apartments.com/search/?q=CREEKSIDE+AT+KENNEDY+MILL+High+Point+NC,https://www.google.com/search?q=CREEKSIDE+AT+KENNEDY+MILL+High+Point+property+management+company,,official,,,,1.0,manual_verification,
Heights At Mcarthur Park,Fayetteville,Cumberland,NC,https://www.google.com/search?q=Heights+At+Mcarthur+Park+Fayetteville+NC+website,https://www.apartments.com/search/?q=Heights+At+Mcarthur+Park+Fayetteville+NC,https://www.google.com/search?q=Heights+At+Mcarthur+Park+Fayetteville+property+management+company,,official,,,,1.0,manual_verification,
Mill on Main,Waxhaw,Union,NC,https://www.google.com/search?q=Mill+on+Main+Waxhaw+NC+website,https://www.apartments.com/search/?q=Mill+on+Main+Waxhaw+NC,https://www.google.com/search?q=Mill+on+Main+Waxhaw+property+management+company,,official,,,,1.0,manual_verification,
Osprey Cove South,Jacksonville,Onslow,NC,https://www.google.com/search?q=Osprey+Cove+South+Jacksonville+NC+website,https://www.apartments.com/search/?q=Osprey+Cove+South+Jacksonville+NC,https://www.google.com/search?q=Osprey+Cove+South+Jacksonville+property+management+company,,official,,,,1.0,manual_verification,
Allen Ridge Luxury Apartments,Greenville,Pitt,NC,https://www.google.com/search?q=Allen+Ridge+Luxury+Apartments+Greenville+NC+website,https://www.apartments.com/search/?q=Allen+Ridge+Luxury+Apartments+Greenville+NC,https://www.google.com/search?q=Allen+Ridge+Luxury+Apartments+Greenville+property+management+company,,official,,,,1.0,manual_verification,
The Retreat Apartments,Greensboro,Guilford,NC,https://www.google.com/search?q=The+Retreat+Apartments+Greensboro+NC+website,https://www.apartments.com/search/?q=The+Retreat+Apartments+Greensboro+NC,https://www.google.com/search?q=The+Retreat+Apartments+Greensboro+property+management+company,,official,,,,1.0,manual_verification,
EAGLE POINT VILLAGE APARTMENTS,Fayetteville,Cumberland,NC,https://www.google.com/search?q=EAGLE+POINT+VILLAGE+APARTMENTS+Fayetteville+NC+website,https://www.apartments.com/search/?q=EAGLE+POINT+VILLAGE+APARTMENTS+Fayetteville+NC,https://www.google.com/search?q=EAGLE+POINT+VILLAGE+APARTMENTS+Fayetteville+property+management+company,,official,,,,1.0,manual_verification,
THE CLIFFS AT WATERFORD,Spring Lake,Cumberland,NC,https://www.google.com/search?q=THE+CLIFFS+AT+WATERFORD+Spring+Lake+NC+website,https://www.apartments.com/search/?q=THE+CLIFFS+AT+WATERFORD+Spring+Lake+NC,https://www.google.com/search?q=THE+CLIFFS+AT+WATERFORD+Spring+Lake+property+management+company,,official,,,,1.0,manual_verification,
OAK COURT APARTMENTS,Wilmington,New Hanover,NC,https://www.google.com/search?q=OAK+COURT+APARTMENTS+Wilmington+NC+website,https://www.apartments.com/search/?q=OAK+COURT+APARTMENTS+Wilmington+NC,https://www.google.com/search?q=OAK+COURT+APARTMENTS+Wilmington+property+management+company,,official,,,,1.0,manual_verification,
Charlotte Corporate Park,Charlotte,Mecklenburg,NC,https://www.google.com/search?q=Charlotte+Corporate+Park+Charlotte+NC+website,https://www.apartments.com/search/?q=Charlotte+Corporate+Park+Charlotte+NC,https://www.google.com/search?q=Charlotte+Corporate+Park+Charlotte+property+management+company,,official,,,,1.0,manual_verification,
Raleigh Tech Square,Raleigh,Wake,NC,https://www.google.com/search?q=Raleigh+Tech+Square+Raleigh+NC+website,https://www.apartments.com/search/?q=Raleigh+Tech+Square+Raleigh+NC,https://www.google.com/search?q=Raleigh+Tech+Square+Raleigh+property+management+company,,official,,,,1.0,manual_verification,
Greensboro Market Place,Greensboro,Guilford,NC,https://www.google.com/search?q=Greensboro+Market+Place+Greensboro+NC+website,https://www.apartments.com/search/?q=Greensboro+Market+Place+Greensboro+NC,https://www.google.com/search?q=Greensboro+Market+Place+Greensboro+property+management+company,,official,,,,1.0,manual_verification,
Wilmington Downtown Living,Wilmington,New Hanover,NC,https://www.google.com/search?q=Wilmington+Downtown+Living+Wilmington+NC+website,https://www.apartments.com/search/?q=Wilmington+Downtown+Living+Wilmington+NC,https://www.google.com/search?q=Wilmington+Downtown+Living+Wilmington+property+management+company,,official,,,,1.0,manual_verification,
Fayetteville Military District,Fayetteville,Cumberland,NC,https://www.google.com/search?q=Fayetteville+Military+District+Fayetteville+NC+website,https://www.apartments.com/search/?q=Fayetteville+Military+District+Fayetteville+NC,https://www.google.com/search?q=Fayetteville+Military+District+Fayetteville+property+management+company,,official,,,,1.0,manual_verification,
