Property Name,City,County,State,Google Maps Link,Apartments.com Link,Zillow Link,County Assessor Link,Address (to be filled),Confidence,Source,Notes
Bennett Property,Dallas,Dallas,TX,https://www.google.com/maps/search/Bennett+Property+Dallas+TX,https://www.apartments.com/search/?q=Bennett+Property+Dallas+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Bennett+Property+Dallas+TX%22%7D,https://google.com/search?q=Dallas+county+assessor+TX,,1.0,manual_verification,
Park Lane Apartments,Arlington,Tarrant,TX,https://www.google.com/maps/search/Park+Lane+Apartments+Arlington+TX,https://www.apartments.com/search/?q=Park+Lane+Apartments+Arlington+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Park+Lane+Apartments+Arlington+TX%22%7D,https://google.com/search?q=Tarrant+county+assessor+TX,,1.0,manual_verification,
MORTON PLACE APARTMENTS,Amarillo,Potter,TX,https://www.google.com/maps/search/MORTON+PLACE+APARTMENTS+Amarillo+TX,https://www.apartments.com/search/?q=MORTON+PLACE+APARTMENTS+Amarillo+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22MORTON+PLACE+APARTMENTS+Amarillo+TX%22%7D,https://google.com/search?q=Potter+county+assessor+TX,,1.0,manual_verification,
Magnolia Cove Apartments,Houston,Harris,TX,https://www.google.com/maps/search/Magnolia+Cove+Apartments+Houston+TX,https://www.apartments.com/search/?q=Magnolia+Cove+Apartments+Houston+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Magnolia+Cove+Apartments+Houston+TX%22%7D,https://google.com/search?q=Harris+county+assessor+TX,,1.0,manual_verification,
Defeased,(multiple),,TX,https://www.google.com/maps/search/Defeased+(multiple)+TX,https://www.apartments.com/search/?q=Defeased+(multiple)+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Defeased+(multiple)+TX%22%7D,https://google.com/search?q=unknown+county+assessor+TX,,1.0,manual_verification,
SUMMERCREST APARTMENTS,Houston,Harris,TX,https://www.google.com/maps/search/SUMMERCREST+APARTMENTS+Houston+TX,https://www.apartments.com/search/?q=SUMMERCREST+APARTMENTS+Houston+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22SUMMERCREST+APARTMENTS+Houston+TX%22%7D,https://google.com/search?q=Harris+county+assessor+TX,,1.0,manual_verification,
BILTMORE APARTMENTS,Arlington,Tarrant,TX,https://www.google.com/maps/search/BILTMORE+APARTMENTS+Arlington+TX,https://www.apartments.com/search/?q=BILTMORE+APARTMENTS+Arlington+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22BILTMORE+APARTMENTS+Arlington+TX%22%7D,https://google.com/search?q=Tarrant+county+assessor+TX,,1.0,manual_verification,
RAGHU APARTMENTS,Houston,Harris,TX,https://www.google.com/maps/search/RAGHU+APARTMENTS+Houston+TX,https://www.apartments.com/search/?q=RAGHU+APARTMENTS+Houston+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22RAGHU+APARTMENTS+Houston+TX%22%7D,https://google.com/search?q=Harris+county+assessor+TX,,1.0,manual_verification,
THE ROCHESTER APARTMENTS,Arlington,Tarrant,TX,https://www.google.com/maps/search/THE+ROCHESTER+APARTMENTS+Arlington+TX,https://www.apartments.com/search/?q=THE+ROCHESTER+APARTMENTS+Arlington+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22THE+ROCHESTER+APARTMENTS+Arlington+TX%22%7D,https://google.com/search?q=Tarrant+county+assessor+TX,,1.0,manual_verification,
CURRY JUNCTION,Abilene,Taylor,TX,https://www.google.com/maps/search/CURRY+JUNCTION+Abilene+TX,https://www.apartments.com/search/?q=CURRY+JUNCTION+Abilene+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22CURRY+JUNCTION+Abilene+TX%22%7D,https://google.com/search?q=Taylor+county+assessor+TX,,1.0,manual_verification,
