Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
THE DORAL,Dallas,Dallas,TX,https://www.google.com/search?q=THE+DORAL+Dallas+TX+website,https://www.apartments.com/search/?q=THE+DORAL+Dallas+TX,https://www.google.com/search?q=THE+DORAL+Dallas+property+management+company,,official,,,,1.0,manual_verification,
LAS BRISAS APARTMENTS,Houston,Harris,TX,https://www.google.com/search?q=LAS+BRISAS+APARTMENTS+Houston+TX+website,https://www.apartments.com/search/?q=LAS+BRISAS+APARTMENTS+Houston+TX,https://www.google.com/search?q=LAS+BRISAS+APARTMENTS+Houston+property+management+company,,official,,,,1.0,manual_verification,
Bennett Property,Dallas,Dallas,TX,https://www.google.com/search?q=Bennett+Property+Dallas+TX+website,https://www.apartments.com/search/?q=Bennett+Property+Dallas+TX,https://www.google.com/search?q=Bennett+Property+Dallas+property+management+company,,official,,,,1.0,manual_verification,
Park Lane Apartments,Arlington,Tarrant,TX,https://www.google.com/search?q=Park+Lane+Apartments+Arlington+TX+website,https://www.apartments.com/search/?q=Park+Lane+Apartments+Arlington+TX,https://www.google.com/search?q=Park+Lane+Apartments+Arlington+property+management+company,,official,,,,1.0,manual_verification,
QUAIL MEADOWS,Houston,Harris,TX,https://www.google.com/search?q=QUAIL+MEADOWS+Houston+TX+website,https://www.apartments.com/search/?q=QUAIL+MEADOWS+Houston+TX,https://www.google.com/search?q=QUAIL+MEADOWS+Houston+property+management+company,,official,,,,1.0,manual_verification,
MORTON PLACE APARTMENTS,Amarillo,Potter,TX,https://www.google.com/search?q=MORTON+PLACE+APARTMENTS+Amarillo+TX+website,https://www.apartments.com/search/?q=MORTON+PLACE+APARTMENTS+Amarillo+TX,https://www.google.com/search?q=MORTON+PLACE+APARTMENTS+Amarillo+property+management+company,,official,,,,1.0,manual_verification,
Magnolia Cove Apartments,Houston,Harris,TX,https://www.google.com/search?q=Magnolia+Cove+Apartments+Houston+TX+website,https://www.apartments.com/search/?q=Magnolia+Cove+Apartments+Houston+TX,https://www.google.com/search?q=Magnolia+Cove+Apartments+Houston+property+management+company,,official,,,,1.0,manual_verification,
Defeased,(multiple),,TX,https://www.google.com/search?q=Defeased+(multiple)+TX+website,https://www.apartments.com/search/?q=Defeased+(multiple)+TX,https://www.google.com/search?q=Defeased+(multiple)+property+management+company,,official,,,,1.0,manual_verification,
BRAES HOLLOW APARTMENTS,Houston,Harris,TX,https://www.google.com/search?q=BRAES+HOLLOW+APARTMENTS+Houston+TX+website,https://www.apartments.com/search/?q=BRAES+HOLLOW+APARTMENTS+Houston+TX,https://www.google.com/search?q=BRAES+HOLLOW+APARTMENTS+Houston+property+management+company,,official,,,,1.0,manual_verification,
The Retreat By Watermark,Corpus Christi,Nueces,TX,https://www.google.com/search?q=The+Retreat+By+Watermark+Corpus+Christi+TX+website,https://www.apartments.com/search/?q=The+Retreat+By+Watermark+Corpus+Christi+TX,https://www.google.com/search?q=The+Retreat+By+Watermark+Corpus+Christi+property+management+company,,official,,,,1.0,manual_verification,
SUMMERCREST APARTMENTS,Houston,Harris,TX,https://www.google.com/search?q=SUMMERCREST+APARTMENTS+Houston+TX+website,https://www.apartments.com/search/?q=SUMMERCREST+APARTMENTS+Houston+TX,https://www.google.com/search?q=SUMMERCREST+APARTMENTS+Houston+property+management+company,,official,,,,1.0,manual_verification,
BILTMORE APARTMENTS,Arlington,Tarrant,TX,https://www.google.com/search?q=BILTMORE+APARTMENTS+Arlington+TX+website,https://www.apartments.com/search/?q=BILTMORE+APARTMENTS+Arlington+TX,https://www.google.com/search?q=BILTMORE+APARTMENTS+Arlington+property+management+company,,official,,,,1.0,manual_verification,
RAGHU APARTMENTS,Houston,Harris,TX,https://www.google.com/search?q=RAGHU+APARTMENTS+Houston+TX+website,https://www.apartments.com/search/?q=RAGHU+APARTMENTS+Houston+TX,https://www.google.com/search?q=RAGHU+APARTMENTS+Houston+property+management+company,,official,,,,1.0,manual_verification,
THE ROCHESTER APARTMENTS,Arlington,Tarrant,TX,https://www.google.com/search?q=THE+ROCHESTER+APARTMENTS+Arlington+TX+website,https://www.apartments.com/search/?q=THE+ROCHESTER+APARTMENTS+Arlington+TX,https://www.google.com/search?q=THE+ROCHESTER+APARTMENTS+Arlington+property+management+company,,official,,,,1.0,manual_verification,
CURRY JUNCTION,Abilene,Taylor,TX,https://www.google.com/search?q=CURRY+JUNCTION+Abilene+TX+website,https://www.apartments.com/search/?q=CURRY+JUNCTION+Abilene+TX,https://www.google.com/search?q=CURRY+JUNCTION+Abilene+property+management+company,,official,,,,1.0,manual_verification,
MEADOWS PLACE SENIORS VILLAGE,Stafford,Fort Bend,TX,https://www.google.com/search?q=MEADOWS+PLACE+SENIORS+VILLAGE+Stafford+TX+website,https://www.apartments.com/search/?q=MEADOWS+PLACE+SENIORS+VILLAGE+Stafford+TX,https://www.google.com/search?q=MEADOWS+PLACE+SENIORS+VILLAGE+Stafford+property+management+company,,official,,,,1.0,manual_verification,
GRAPEVINE STATION,Grapevine,Tarrant,TX,https://www.google.com/search?q=GRAPEVINE+STATION+Grapevine+TX+website,https://www.apartments.com/search/?q=GRAPEVINE+STATION+Grapevine+TX,https://www.google.com/search?q=GRAPEVINE+STATION+Grapevine+property+management+company,,official,,,,1.0,manual_verification,
FOREST RIDGE,Dallas,Dallas,TX,https://www.google.com/search?q=FOREST+RIDGE+Dallas+TX+website,https://www.apartments.com/search/?q=FOREST+RIDGE+Dallas+TX,https://www.google.com/search?q=FOREST+RIDGE+Dallas+property+management+company,,official,,,,1.0,manual_verification,
Deer Springs Apartments,Humble,Harris,TX,https://www.google.com/search?q=Deer+Springs+Apartments+Humble+TX+website,https://www.apartments.com/search/?q=Deer+Springs+Apartments+Humble+TX,https://www.google.com/search?q=Deer+Springs+Apartments+Humble+property+management+company,,official,,,,1.0,manual_verification,
The Azul Apartments,Dallas,Dallas,TX,https://www.google.com/search?q=The+Azul+Apartments+Dallas+TX+website,https://www.apartments.com/search/?q=The+Azul+Apartments+Dallas+TX,https://www.google.com/search?q=The+Azul+Apartments+Dallas+property+management+company,,official,,,,1.0,manual_verification,
Cypress Lake,Houston,Harris,TX,https://www.google.com/search?q=Cypress+Lake+Houston+TX+website,https://www.apartments.com/search/?q=Cypress+Lake+Houston+TX,https://www.google.com/search?q=Cypress+Lake+Houston+property+management+company,,official,,,,1.0,manual_verification,
